"","City","POP","GDP","PRIM","SEC","TERT","X.60yr.","BED","DOC","NRS","Area","POPDENS","GDPpc","Prim.","Sec.","Tert.","ACTV","TVLR","TVLR."
"1","Shenyang",8322,93.6367583212735,4.10998552821997,31.5282199710564,57.9971056439942,23.2682528,8.643234799,3.815068493,4.589161259,12860,647.122861586314,3712.38321833694,4.38928643185015,33.6707726071434,61.9383954376149,5.603785714,3.761505,0.451995
"2","Dalian",7100,101.327062228654,6.63531114327062,40.5180897250362,54.1722141823444,22.8509855,6.648,3.139,3.698,13244,536.091815161583,4708.70241929577,6.54840967193682,39.9874316237485,53.4627304797406,5.601578571,0.95776,0.134896
"3","Fuzhou",7800,135.923299565847,7.61895803183792,55.4412445730825,72.8630969609262,17.2970641,4.907307692,3.024102564,3.440897436,12255,636.474908200734,5749.54461064102,5.6053362861067,40.7886247245084,53.6060389893849,4.575007143,9.966425,1.277747
"4","Xiamen",4290,86.7589001447178,0.383357452966715,36.0924746743849,50.2830680173661,12.06562,4.378554779,3.274592075,3.8,1701,2522.04585537919,6672.53541780886,0.441865275294243,41.6008900691238,57.9572446555819,4.836185714,8.126445,1.894276
"5","Nanning",7344.8,65.2179450072359,7.3410998552822,15.1225759768452,42.7542691751085,17.2755174,7.364257706,2.797217079,4.074991831,22244,330.192411436792,2929.6873643394,11.2562575445573,23.1877529645672,65.5559894908755,5.038414286,9.419795,1.282512
"6","Haikou",2327.9,24.1958031837916,1.0301013024602,3.99421128798842,19.171490593343,12.4180528,8.192362215,4.124318055,5.897590103,2289,1016.99432066405,3429.33462919369,4.25735527205086,16.5078681523748,79.2347765755743,5.184114286,5.69084,2.444624
"7","Guiyang",4971.4,58.4602026049204,2.33487698986975,21.659479015919,34.4658465991317,13.8250477,6.964637728,3.978959649,5.272156737,8043,618.102697998259,3879.85727883494,3.9939597979998,37.0499554411328,58.9560847608674,4.579314286,4.772415,0.959974
"8","Kunming",6950,93.717510853835,3.91157742402316,30.0832127351664,59.7227206946454,15.8084892,9.223021583,4.575539568,6.014388489,21013,330.747632418027,4449.07864500719,4.17379568491078,32.0998844944625,63.7263198206267,4.556507143,11.32589,1.629624
"9","Lasa",720.9615385,8.94182344428365,0.290882778581766,3.41736613603473,5.23357452966715,7.4837567,5.2,3.852242744,5.791418016,29654,24.3124549301949,4092.11788043254,3.25305884637794,38.2177769146112,58.5291642390108,3.495085714,0,0
"10","Lanzhou",3790.9,41.0616497829233,0.747901591895803,13.6813314037627,26.6324167872648,19.5439131,8.282993484,3.79857026,5.091139307,13192,287.36355366889,3573.78324450658,1.82141145289988,33.319000761271,64.8595877858291,4.404042857,3.076535,0.811558
"11","Xining",2387.1,42.9225759768452,4.36903039073806,16.7836468885673,21.7698986975398,17.8,9.594905953,4.120480918,5.379330568,7607,313.803076114105,5932.657919442,10.1788634333013,39.1021426524385,50.7189939142602,4.868814286,0,0
