"","X.3","X.2","X.1","X","PM2.5","PM10","SO2","CO","NO2","O3","HUM","PRES","WSPD","TEMP","ACTV","MORB.","Case","log.Case.1.","log.MORB..1.","City","days"
"35",35,35,35,"2020-02-25",90.6666666666667,118.333333333333,11,1,26.6666666666667,117,51.3333333333333,951.666666666667,5.26666666666667,10.6666666666667,3.6409,1.73472347597681e-18,0,0,0,"Sanmenxia",34
"36",36,36,36,"2020-02-26",97.3333333333333,108,8.66666666666667,1.13333333333333,26.3333333333333,106.333333333333,63,950,4.4,11.8333333333333,3.64826666666666,1.73472347597681e-18,0,0,0,"Sanmenxia",35
"37",37,37,37,"2020-02-27",81.3333333333333,79.6666666666667,5.66666666666667,1.13333333333333,22,91.3333333333333,79,953.666666666667,5.1,9.16666666666667,3.39966666666666,1.73472347597681e-18,0,0,0,"Sanmenxia",36
"38",38,38,38,"2020-02-28",48.3333333333333,41.3333333333333,4,1,21.3333333333333,64.3333333333333,92.3333333333333,956,4.33333333333333,6.33333333333333,3.3426,1.73472347597681e-18,0,0,0,"Sanmenxia",37
"39",39,39,39,"2020-02-29",42.3333333333333,37.3333333333333,4.66666666666667,1,26.3333333333333,50,100,954.333333333333,3.76666666666667,3.83333333333333,3.42063333333333,1.73472347597681e-18,0,0,0,"Sanmenxia",38
"40",40,40,40,"2020-03-01",44.6666666666667,52,6.33333333333333,0.966666666666668,30,61,98.6666666666667,952,1.63333333333333,4,3.7252,1.73472347597681e-18,0,0,0,"Sanmenxia",39
"41",41,41,41,"2020-03-02",53.6666666666667,61,6.66666666666667,0.966666666666668,28,67.6666666666667,91.3333333333333,952.333333333333,2.96666666666667,5.66666666666667,3.8224,1.73472347597681e-18,0,0,0,"Sanmenxia",40
"42",42,42,42,"2020-03-03",46.3333333333333,60.3333333333333,7.33333333333333,0.833333333333334,27.6666666666667,83,91.3333333333333,954.666666666667,2.96666666666667,5.33333333333333,4.01756666666666,1.73472347597681e-18,0,0,0,"Sanmenxia",41
"43",43,43,43,"2020-03-04",51.6666666666667,65,7.66666666666667,0.833333333333334,27,78,75.6666666666667,956.333333333333,3.53333333333333,5.16666666666667,4.14436666666666,1.73472347597681e-18,0,0,0,"Sanmenxia",42
"44",44,44,44,"2020-03-05",51,70.6666666666667,9,0.733333333333334,29.6666666666667,90,67.6666666666667,956.666666666667,5.1,4.33333333333333,4.27536666666666,1.73472347597681e-18,0,0,0,"Sanmenxia",43
"45",45,45,45,"2020-03-06",73.6666666666667,86,10,0.833333333333334,33,96,55.3333333333333,954.333333333333,5.66666666666667,5.5,4.34033333333333,1.73472347597681e-18,0,0,0,"Sanmenxia",44
"46",46,46,46,"2020-03-07",85,96.6666666666667,10.6666666666667,0.866666666666667,35,114.666666666667,58,951,4.33333333333333,6.83333333333333,4.3786,1.73472347597681e-18,0,0,0,"Sanmenxia",45
"47",47,47,47,"2020-03-08",100,111.333333333333,10.3333333333333,0.900000000000001,36,111.666666666667,56.3333333333333,947,3.63333333333333,9.5,4.3273,1.73472347597681e-18,0,0,0,"Sanmenxia",46
"48",48,48,48,"2020-03-09",72.6666666666667,101.666666666667,9,0.700000000000001,26.3333333333333,106,61.3333333333333,947,4.5,10.6666666666667,4.34036666666666,1.73472347597681e-18,0,0,0,"Sanmenxia",47
"49",49,49,49,"2020-03-10",52.3333333333333,105.333333333333,7.66666666666667,0.533333333333334,23.6666666666667,96.3333333333333,51.6666666666667,950,6.7,10,4.40523333333333,1.73472347597681e-18,0,0,0,"Sanmenxia",48
"50",50,50,50,"2020-03-11",27.3333333333333,99,7.66666666666667,0.433333333333334,24,95.3333333333333,47.6666666666667,952.333333333333,5.83333333333333,8,4.5835,1.73472347597681e-18,0,0,0,"Sanmenxia",49
"51",51,51,51,"2020-03-12",39,115.333333333333,9.66666666666667,0.533333333333334,38.3333333333333,87,36,951.666666666667,4.4,8.66666666666667,4.6221,1.73472347597681e-18,0,0,0,"Sanmenxia",50
"52",52,52,52,"2020-03-13",42,113,10,0.566666666666667,42,84.3333333333333,37.6666666666667,951,2.2,9.83333333333333,4.659,1.73472347597681e-18,0,0,0,"Sanmenxia",51
"53",53,53,53,"2020-03-14",39.6666666666667,109,9,0.533333333333334,46.3333333333333,88.6666666666667,39.3333333333333,953.333333333333,0.866666666666667,10,4.6307,1.73472347597681e-18,0,0,0,"Sanmenxia",52
"54",54,54,54,"2020-03-15",32,95,7.66666666666667,0.533333333333334,44.6666666666667,99,34,956,0.866666666666667,8.66666666666667,4.63376666666666,1.73472347597681e-18,0,0,0,"Sanmenxia",53
"55",55,55,55,"2020-03-16",32.3333333333333,83.3333333333333,8.66666666666667,0.600000000000001,50,93.6666666666667,32.3333333333333,955.666666666667,1.63333333333333,9.33333333333333,4.68673333333333,1.73472347597681e-18,0,0,0,"Sanmenxia",54
"56",56,56,56,"2020-03-17",33,78,9,0.700000000000001,51.3333333333333,92.6666666666667,33,953.666666666667,2.4,11,4.7973,1.73472347597681e-18,0,0,0,"Sanmenxia",55
"57",57,57,57,"2020-03-18",32.6666666666667,83.6666666666667,8.66666666666667,0.666666666666667,50,97,29,951.666666666667,2.96666666666667,13,4.89346666666666,1.73472347597681e-18,0,0,0,"Sanmenxia",56
"58",58,58,58,"2020-03-19",30.6666666666667,111.666666666667,7.33333333333333,0.633333333333334,43.6666666666667,104.333333333333,25.3333333333333,949.666666666667,2.46666666666667,13.8333333333333,4.91123333333333,1.73472347597681e-18,0,0,0,"Sanmenxia",57
