"","X","X.1","PM2.5","PM10","SO2","CO","NO2","O3","HUM","PRES","WSPD","TEMP","ACTV","MORB.","Case","log.Case.1.","log.MORB..1."
"79","2020-01-22","上海",78,44,5,1.2,55,69,97,1021,0.1,10.5,3.9841,0,0,0,0
"11311","2020-01-22","重庆",62,81,8,1.1,40,37,72,987,0.9,10.5,5.3935,0,0,0,0
"9517","2020-01-22","苏州",88,71,2,1.2,45,47,92,1021,0.1,9.5,3.451,0,0,0,0
"1405","2020-01-22","北京",66,70,8,1.1,52,42,66,1020,0.1,-1,3.9546,0,0,0,0
"5149","2020-01-22","成都",107,124,7,1,42,63,69,960,2.4,9.5,4.0045,0,0,0,0
"4447","2020-01-22","广州",28,44,5,0.9,39,113,81,1017,0.9,19,2.4538,0,0,0,0
"7567","2020-01-22","深圳",34,49,5,0.6,22,97,81,1014,2.4,20,1.9892,0,0,0,0
"80","2020-01-23","上海",56,32.5,4.5,0.95,45,67.5,97.5,1021,0.1,9.75,3.6416,0.002882865,7,2.07944154167984,0.00287871751387881
"11312","2020-01-23","重庆",64,82,7.5,1.05,37,35,74.5,987.5,1.65,11.25,5.20475,0.000960209,3,1.38629436111989,0.000959748294230502
"9518","2020-01-23","苏州",58,51,2.5,0.9,33,53,94.5,1021,1.25,8.5,3.19365,0,0,0,0
"1406","2020-01-23","北京",61,66.5,7,1,44,56.5,66.5,1020,0.1,-0.25,3.526,0.005572065,12,2.56494935746154,0.00555659847288183
"5150","2020-01-23","成都",113,129,6.5,1.05,41.5,48,78,960.5,1.25,9.75,3.68035,0,0,0,0
"4448","2020-01-23","广州",26.5,41.5,5,0.85,36.5,110.5,81,1015.5,0.5,20.25,2.2493,0,0,0,0
"7568","2020-01-23","深圳",29,43,5,0.6,20,86.5,84,1012,2.4,21,1.766,0,0,0,0
"81","2020-01-24","上海",52,39,4.66666666666667,0.866666666666667,38.3333333333333,77.3333333333333,97.3333333333333,1022.66666666667,0.366666666666667,9.5,3.2541,0.004530216,11,2.484906649788,0.00451998545757169
"11313","2020-01-24","重庆",61.3333333333333,77.6666666666667,7,1,32,31.3333333333333,77,988.666666666667,1.9,11.1666666666667,4.9185,0.006721463,21,3.09104245335832,0.00669897468093114
"9519","2020-01-24","苏州",53.6666666666667,53.3333333333333,2.66666666666667,0.8,26.3333333333333,66,94,1022.66666666667,1.63333333333333,8.66666666666667,2.8633,0,0,0,0
"1407","2020-01-24","北京",66,70,6.66666666666667,0.9,36.3333333333333,62,66.3333333333333,1024,0.366666666666667,0.166666666666667,3.15163333333333,0.012072808,26,3.29583686600433,0.0120005129414123
"5151","2020-01-24","成都",94.3333333333333,107.666666666667,6.33333333333333,0.966666666666667,33.3333333333333,57,84.3333333333333,961.333333333333,0.866666666666667,9.33333333333333,3.3415,0,0,0,0
"4449","2020-01-24","广州",24.3333333333333,38.3333333333333,5,0.8,32.3333333333333,101,83.3333333333333,1014.66666666667,0.633333333333333,21.3333333333333,2.0201,0,0,0,0
"7569","2020-01-24","深圳",25,37,5,0.566666666666667,17.6666666666667,83,85.6666666666667,1011.33333333333,1.9,21.8333333333333,1.53266666666667,0,0,0,0
"82","2020-01-25","上海",30.6666666666667,29,4.33333333333333,0.633333333333333,27,77.3333333333333,96,1025.33333333333,0.366666666666667,8.83333333333333,2.5182,0.009884108,24,3.2188758248682,0.00983557971505268
"11314","2020-01-25","重庆",53,65.6666666666667,6.33333333333333,0.866666666666667,24.6666666666667,28.3333333333333,80.6666666666667,991.333333333333,1.9,10.8333333333333,4.35243333333333,0.016323552,51,3.95124371858143,0.0161917551526337
"9520","2020-01-25","苏州",30,38.6666666666667,2.66666666666667,0.533333333333333,14.6666666666667,72.6666666666667,92.3333333333333,1025.33333333333,2.4,8,2.25286666666667,0.000930233,1,0.693147180559945,0.000929800601416424
"1408","2020-01-25","北京",92.3333333333333,100.333333333333,7.33333333333333,0.866666666666667,30,71,68.3333333333333,1028,0.633333333333333,0.166666666666667,2.4419,0.014394502,31,3.46573590279973,0.0142918847334551
"5152","2020-01-25","成都",75,84,6.33333333333333,0.9,24,66.6666666666667,91,964,0.1,8.83333333333333,2.68606666666667,0.005427899,9,2.30258509299405,0.00541322104590257
"4450","2020-01-25","广州",24.6666666666667,36.3333333333333,5.33333333333333,0.833333333333333,25.3333333333333,74.3333333333333,83,1013.66666666667,0.633333333333333,21.8333333333333,1.5994,0.0045734,7,2.07944154167984,0.00456297378297479
"7570","2020-01-25","深圳",22,31.3333333333333,5,0.566666666666667,14.3333333333333,72,88.6666666666667,1010.33333333333,1.9,22.5,1.14436666666667,0.00372057,5,1.79175946922805,0.00371366579918015
"83","2020-01-26","上海",24.6666666666667,28.6666666666667,4.66666666666667,0.6,21.3333333333333,81,95.6666666666667,1026.66666666667,0.633333333333333,8.33333333333333,1.95763333333333,0.009884108,24,3.2188758248682,0.00983557971505268
"11315","2020-01-26","重庆",43.6666666666667,53.6666666666667,6,0.8,19,29.3333333333333,85.6666666666667,993.333333333333,1.4,9.5,3.79536666666667,0.021124597,66,4.20469261939097,0.020904566017069
"9521","2020-01-26","苏州",23.6666666666667,31.6666666666667,2.33333333333333,0.433333333333333,10.3333333333333,79,92,1027,2.4,7.5,1.7795,0.004651163,5,1.79175946922805,0.00464037976483544
"1409","2020-01-26","北京",124.333333333333,128.333333333333,9,1.13333333333333,30.6666666666667,72.3333333333333,71,1031,0.633333333333333,0,1.9609,0.021359584,46,3.85014760171006,0.0211346652298049
"5153","2020-01-26","成都",48.6666666666667,54.3333333333333,6.33333333333333,0.8,15.3333333333333,75,87.3333333333333,965.666666666667,0.1,8.16666666666667,2.19656666666667,0.009046499,15,2.77258872223978,0.00900582455144954
"4451","2020-01-26","广州",18.6666666666667,26.3333333333333,5,0.9,19,49.6666666666667,86.6666666666667,1013.33333333333,1.4,19.6666666666667,1.29203333333333,0.006533428,10,2.39789527279837,0.00651217766741097
"7571","2020-01-26","深圳",16.6666666666667,22.3333333333333,5,0.6,12,59,90.3333333333333,1009.66666666667,1.9,21.1666666666667,0.874866666666667,0.011905825,16,2.83321334405622,0.0118355082346862
"84","2020-01-27","上海",18,18.6666666666667,4.33333333333333,0.566666666666667,19.3333333333333,75,94.6666666666667,1024,0.633333333333333,7.83333333333333,1.6646,0.013590649,33,3.52636052461616,0.0134991244494822
"11316","2020-01-27","重庆",35,42.6666666666667,6.33333333333333,0.766666666666667,18,38.3333333333333,87.6666666666667,992.666666666667,1.4,8.83333333333333,3.37003333333333,0.026565781,83,4.43081679884331,0.0262190382292862
"9522","2020-01-27","苏州",18,20.3333333333333,2,0.433333333333333,9.33333333333333,76,90.6666666666667,1024.66666666667,3.83333333333333,6.5,1.55436666666667,0.005581396,6,1.94591014905531,0.00556587772499363
"1410","2020-01-27","北京",151.666666666667,148.333333333333,10.3333333333333,1.5,36,75,75,1029,0.366666666666667,-0.5,1.65353333333333,0.020430906,44,3.80666248977032,0.0202249949491484
"5154","2020-01-27","成都",42.3333333333333,47,6.66666666666667,0.8,14.3333333333333,66.3333333333333,81.3333333333333,965.333333333333,0.866666666666667,7.66666666666667,1.8669,0.015680598,26,3.29583686600433,0.0155589276837952
"4452","2020-01-27","广州",15.3333333333333,20,4.66666666666667,0.933333333333333,14.6666666666667,41.3333333333333,81.3333333333333,1013.66666666667,1.9,15.1666666666667,1.09236666666667,0.022213656,34,3.55534806148941,0.0219705266836628
"7572","2020-01-27","深圳",12.6666666666667,17,5,0.633333333333333,11,50.3333333333333,86,1009.33333333333,2.96666666666667,18,0.7672,0.015626395,21,3.09104245335832,0.0155055600734835
