"","X.1","X","PM2.5","PM10","SO2","CO","NO2","O3","HUM","PRES","WSPD","TEMP","ACTV","MORB.","Case","log.Case.1.","log.MORB..1.","City"
"6553",6553,"2020-01-22",98,129,24,1.3,48,45,76,1017,0.1,-1,4.9814,0,0,0,0,"Shenyang"
"2965",2965,"2020-01-22",32,56,13,0.7,32,74,71,1014,4.1,3,5.0088,0,0,0,0,"Dalian"
"8815",8815,"2020-01-22",51,60,5,1,34,78,76,1013,0.9,14.5,3.919,0,0,0,0,"Fuzhou"
"1951",1951,"2020-01-22",68,72,8,0.9,52,56,72,1006,2.4,16.5,3.2499,0,0,0,0,"Xiamen"
"1639",1639,"2020-01-22",37,53,9,0.9,24,69,100,996,0.1,14.5,4.4372,0,0,0,0,"Nanning"
"7177",7177,"2020-01-22",17,33,3,0.7,8,92,89,1012,4.1,22.5,4.2622,0,0,0,0,"Haikou"
"10531",10531,"2020-01-22",31,45,14,0.8,13,48,84,877,2.4,13.5,3.9514,0,0,0,0,"Guiyang"
"5773",5773,"2020-01-22",18,26,10,0.4,21,84,57,813,4.1,11.5,3.6733,0,0,0,0,"Kunming"
"5383",5383,"2020-01-22",14,42,6,0.7,18,86,16,648,4.1,-1.5,3.1886,0,0,0,0,"Lasa"
"1171",1171,"2020-01-22",72,106,29,2,79,67,63,846,8.8,-1,3.7921,0,0,0,0,"Lanzhou"
"10297",10297,"2020-01-22",53,73,22,2.3,47,86,38,755,2.4,-4,4.4056,0,0,0,0,"Xining"
"11623",11623,"2020-01-22",71,96,27,1.7,66,61,55,892,0.1,-2.5,4.9271,0,0,0,0,"Yinchuan"
"547",547,"2020-01-22",150,139,7,2,80,43,81,913,4.1,-6.5,3.6666,0,0,0,0,"Wulumuqi"
"3043",3043,"2020-01-22",161,168,11,2,78,44,75,1023,2.4,1.5,4.5117,0,0,0,0,"Tianjin"
"8737",8737,"2020-01-22",102,155,19,2,58,47,75,1010,4.1,-0.5,4.8647,0,0,0,0,"Shijiazhuang"
"3121",3121,"2020-01-22",155,209,36,1.9,72,49,87,930,0.9,-2.5,4.2156,0,0,0,0,"Taiyuan"
"7021",7021,"2020-01-22",114,165,25,1.6,56,74,60,1003,2.4,3.5,4.7022,0,0,0,0,"Jinan"
"12403",12403,"2020-01-22",19,30,6,0.6,26,82,75,1016,4.1,6.5,4.4538,0,0,0,0,"Qingdao"
"11155",11155,"2020-01-22",163,181,12,1.5,65,46,73,1010,0.9,2.5,3.9966,0,0,0,0,"Zhengzhou"
"2341",2341,"2020-01-22",133,148,28,2.4,65,71,71,887,4.1,-6,5.0675,0,0,0,0,"Huhehaote"
"1327",1327,"2020-01-22",160,190,39,3.6,87,45,88,903,2.4,-10,5.6741,0,0,0,0,"Baotou"
"1483",1483,"2020-01-22",71,92,5,0.8,44,47,100,1018,0.9,6,4.3309,0,0,0,0,"Nanjing"
"5617",5617,"2020-01-22",84,96,5,1.2,40,47,97,1021,0.9,8.5,4.0822,0,0,0,0,"Wuxi"
"4135",4135,"2020-01-22",98,119,7,1.2,42,50,98,1021,2.4,8,4.1354,0,0,0,0,"Changzhou"
"6163",6163,"2020-01-22",61,85,5,1.3,32,28,84,1017,0.9,8,3.5098,0,0,0,0,"Hangzhou"
"3277",3277,"2020-01-22",58,75,7,0.9,33,80,64,1022,2.4,10,3.4771,0,0,0,0,"Ningbo"
"7645",7645,"2020-01-22",58,82,8,1,26,100,74,1021,0.9,11,3.8043,0,0,0,0,"Wenzhou"
"8971",8971,"2020-01-22",72,93,3,1.4,34,34,97,1021,0.1,9.5,4.0032,0,0,0,0,"Shaoxing"
"11389",11389,"2020-01-22",59,78,7,0.9,27,69,82,1014,0.1,11.5,3.196,0,0,0,0,"Jinhua"
"2809",2809,"2020-01-22",58,64,8,1.4,29,50,91,1021,0.9,9.5,3.3106,0,0,0,0,"Jiaxing"
"2107",2107,"2020-01-22",138,93,6,1.3,47,34,98,1016,2.4,4,4.4789,0,0,0,0,"Hefei"
"10375",10375,"2020-01-22",160,174,16,1.6,57,63,76,974,0.1,2.5,4.092,0,0,0,0,"Xian"
"11467",11467,"2020-01-22",112,127,21,1.4,39,74,76,936,2.4,2,4.8744,0,0,0,0,"Tongchuan"
"1717",1717,"2020-01-22",44,45,4,1,24,51,82,1015,2.4,11,4.5338,0,0,0,0,"Nanchang"
"11935",11935,"2020-01-22",39,32,4,1.2,19,48,88,1017,0.9,8.5,3.5254,0,0,0,0,"Changsha"
"8425",8425,"2020-01-22",30,48,3,0.7,20,96,88,1015,0.9,19,2.9768,0,0,0,0,"Zhuhai"
"859",859,"2020-01-22",32,53,6,0.8,31,108,83,1019,0.9,20.5,2.1449,0,0,0,0,"Foshan"
"5071",5071,"2020-01-22",32,41,6,0.8,16,97,81,1017,0.9,17.5,2.6344,0,0,0,0,"Huizhou"
"157",157,"2020-01-22",36,36,7,0.7,19,123,86,1015,2.4,19,1.4579,0,0,0,0,"Dongguan"
"235",235,"2020-01-22",34,41,4,0.9,21,111,83,1017,0.9,19.5,1.9804,0,0,0,0,"Zhongshan"
"6554",6554,"2020-01-23",86,117,21,1.15,41,60.5,83.5,1016.5,0.5,-1.75,4.5678,0,0,0,0,"Shenyang"
"2966",2966,"2020-01-23",60.5,88.5,14.5,0.95,34,67,81,1013,2.5,3.25,4.61375,0,0,0,0,"Dalian"
"8816",8816,"2020-01-23",51,53.5,4.5,1,29.5,79,81,1010.5,0.9,16.25,3.65415,0,0,0,0,"Fuzhou"
"1952",1952,"2020-01-23",63.5,65,7,0.95,41.5,77,82.5,1004.5,1.65,17.25,2.8936,0,0,0,0,"Xiamen"
"1640",1640,"2020-01-23",34,49,20.5,0.8,19,73,99.5,994.5,1.25,17.25,4.22795,0,0,0,0,"Nanning"
"7178",7178,"2020-01-23",13,25,2.5,0.65,7,81,92,1010.5,3.25,22.25,3.84965,0,0,0,0,"Haikou"
"10532",10532,"2020-01-23",23.5,35.5,13,0.8,11,43.5,89.5,877.5,2.4,12,3.6305,0,0,0,0,"Guiyang"
"5774",5774,"2020-01-23",17,24.5,10.5,0.4,19.5,81.5,46.5,812,3.25,11.25,3.4058,0,0,0,0,"Kunming"
"5384",5384,"2020-01-23",12,41,5.5,0.65,14,83,13.5,647,3.25,-0.75,3.1504,0,0,0,0,"Lasa"
