"","X","X.1","PM2.5","PM10","SO2","CO","NO2","O3","HUM","PRES","WSPD","TEMP","ACTV","MORB.","Case","log.Case.1.","log.MORB..1."
"6569","2020-02-07","沈阳",48.3333333333333,63.3333333333333,21.3333333333333,0.933333333333334,25.3333333333333,60.6666666666667,49,1028.66666666667,1.4,-14.1666666666667,1.9018,0.008411439,7,2.07944154167984,0.00837625998010074
"6570","2020-02-08","沈阳",63.6666666666667,81,26.3333333333333,1.13333333333333,31.6666666666667,66.3333333333333,60.3333333333333,1027,0.633333333333333,-11.8333333333333,1.86836666666667,0.003604902,3,1.38629436111989,0.00359841991430345
"6571","2020-02-09","沈阳",75,101.333333333333,25,1.33333333333333,33.3333333333333,76,66,1023.66666666667,0.366666666666667,-8.5,1.82526666666667,0.003604902,3,1.38629436111989,0.00359841991430345
"6572","2020-02-10","沈阳",111.666666666667,150.333333333333,27.6666666666667,1.93333333333333,43,78.6666666666667,76.3333333333333,1020.33333333333,0.866666666666667,-6.33333333333333,2.0224,0.001201634,1,0.693147180559945,0.00120091261570052
"6573","2020-02-11","沈阳",116.333333333333,156.666666666667,24.6666666666667,1.93333333333333,39.3333333333333,88,82.3333333333333,1017.33333333333,0.866666666666667,-2.5,2.2048,0.001201634,1,0.693147180559945,0.00120091261570052
"6574","2020-02-12","沈阳",91.6666666666667,122,21,1.6,33.3333333333333,93.3333333333333,80.6666666666667,1013.33333333333,1.63333333333333,2,2.42453333333333,0.002403268,2,1.09861228866811,0.00240038476998565
"6575","2020-02-13","沈阳",62,80.3333333333333,16.3333333333333,1.03333333333333,22.6666666666667,93.6666666666667,82.6666666666667,1011,1.13333333333333,5.16666666666667,2.42453333333333,0.002403268,2,1.09861228866811,0.00240038476998565
"6576","2020-02-14","沈阳",43,58.6666666666667,12.6666666666667,0.8,19.6666666666667,76.3333333333333,85.6666666666667,1012,2.46666666666667,5,2.43416666666667,0.001201634,1,0.693147180559945,0.00120091261570052
"6577","2020-02-15","沈阳",37,66,11,0.666666666666667,17.3333333333333,64.6666666666667,90,1016,3.03333333333333,1.16666666666667,2.20213333333333,0,0,0,0
"6578","2020-02-16","沈阳",19.3333333333333,73.6666666666667,8.33333333333333,0.433333333333333,12,61,85.6666666666667,1018.66666666667,4.96666666666667,-3.66666666666667,1.9629,0,0,0,0
"6579","2020-02-17","沈阳",18.6666666666667,73.6666666666667,10,0.466666666666667,14.3333333333333,66,71,1018.66666666667,4.96666666666667,-7.83333333333333,2.0839,0,0,0,0
"6580","2020-02-18","沈阳",32,76,18.3333333333333,0.833333333333333,25.6666666666667,63.6666666666667,68.3333333333333,1017.33333333333,3.63333333333333,-9.66666666666667,2.4646,0,0,0,0
"6581","2020-02-19","沈阳",54.6666666666667,73.6666666666667,24.3333333333333,1.13333333333333,40.6666666666667,63.6666666666667,69,1019,1.43333333333333,-8.66666666666667,2.8558,0,0,0,0
"6582","2020-02-20","沈阳",79,99,32.6666666666667,1.5,52.6666666666667,66.3333333333333,78.6666666666667,1021.33333333333,0.0999999999999999,-6.5,2.9429,0,0,0,0
"6583","2020-02-21","沈阳",82.3333333333333,100.666666666667,25,1.43333333333333,49.3333333333333,65.6666666666667,80.3333333333333,1022.33333333333,0.0999999999999999,-2,2.8921,0,0,0,0
"6584","2020-02-22","沈阳",59,77.6666666666667,20,1.13333333333333,38.3333333333333,68.6666666666667,84.6666666666667,1020.66666666667,0.866666666666667,-1.5,2.80076666666667,0,0,0,0
"6585","2020-02-23","沈阳",38,57,15,0.966666666666667,31,70,79,1019.66666666667,1.13333333333333,-1.33333333333333,2.6649,0,0,0,0
"6586","2020-02-24","沈阳",25.3333333333333,45.3333333333333,16,0.700000000000001,28.6666666666667,75.6666666666667,72,1016,1.9,-2,3.09976666666667,0,0,0,0
"6587","2020-02-25","沈阳",28.3333333333333,45.6666666666667,16.3333333333333,0.700000000000001,27.6666666666667,76.3333333333333,56.6666666666667,1016.66666666667,1.9,-0.166666666666667,3.51996666666667,0,0,0,0
"6588","2020-02-26","沈阳",29,41.3333333333333,12.3333333333333,0.500000000000001,23.6666666666667,75.6666666666667,58,1016.33333333333,2.4,0.5,3.96823333333333,0,0,0,0
"6589","2020-02-27","沈阳",32.3333333333333,45.6666666666667,14.6666666666667,0.600000000000001,27.3333333333333,81.3333333333333,58.6666666666667,1021.33333333333,1.63333333333333,-0.833333333333333,3.97586666666667,0,0,0,0
"6590","2020-02-28","沈阳",38.6666666666667,55.6666666666667,16.3333333333333,0.733333333333334,33,75.3333333333333,68.3333333333333,1021.66666666667,1.13333333333333,-1,3.99616666666667,0,0,0,0
"6591","2020-02-29","沈阳",46.6666666666667,67,17.3333333333333,0.8,36.6666666666667,70.3333333333333,78,1019.33333333333,0.366666666666666,-0.666666666666667,3.78663333333333,0,0,0,0
"6592","2020-03-01","沈阳",44.3333333333333,61.6666666666667,13.6666666666667,0.666666666666667,31,68.3333333333333,77.3333333333333,1015.66666666667,0.633333333333333,0.166666666666667,3.5517,0,0,0,0
"6593","2020-03-02","沈阳",44,59,12.3333333333333,0.6,30,70.6666666666667,72.3333333333333,1015.66666666667,0.633333333333333,-0.833333333333333,3.7553,0,0,0,0
"6594","2020-03-03","沈阳",44.6666666666667,59,14,0.666666666666667,32,70,63,1017.66666666667,0.633333333333333,-1,4.09736666666667,0,0,0,0
"6595","2020-03-04","沈阳",43.6666666666667,58.3333333333333,14.3333333333333,0.666666666666667,30.6666666666667,71.6666666666667,74.3333333333333,1017.33333333333,1.13333333333333,-0.833333333333333,4.4033,0,0,0,0
"6596","2020-03-05","沈阳",43.3333333333333,58.3333333333333,16.6666666666667,0.800000000000001,33.3333333333333,75.6666666666667,80.6666666666667,1019,0.866666666666666,-2,4.4015,0,0,0,0
"6597","2020-03-06","沈阳",40,55.3333333333333,16,0.766666666666667,29.6666666666667,81.6666666666667,82.3333333333333,1017,1.63333333333333,-1.66666666666667,4.48183333333334,0,0,0,0
"6598","2020-03-07","沈阳",43,58.6666666666667,16.6666666666667,0.866666666666667,36,77.6666666666667,75,1015.33333333333,1.13333333333333,-0.166666666666667,4.22646666666667,0,0,0,0
"6599","2020-03-08","沈阳",45.6666666666667,60.3333333333333,15,0.833333333333334,33.3333333333333,77.6666666666667,79,1011.33333333333,1.13333333333333,2.33333333333333,3.8879,0,0,0,0
"6600","2020-03-09","沈阳",47.6666666666667,61,13,0.833333333333334,34.3333333333333,72.6666666666667,86,1010.33333333333,0.366666666666667,4,3.896,0,0,0,0
"6601","2020-03-10","沈阳",41.3333333333333,57,12,0.733333333333334,28.3333333333333,73.3333333333333,82.6666666666667,1010.66666666667,0.866666666666667,2.33333333333333,4.35216666666667,0,0,0,0
"6602","2020-03-11","沈阳",31.3333333333333,51.3333333333333,11.6666666666667,0.600000000000001,26.6666666666667,70,63.3333333333333,1010.33333333333,2.2,1.5,4.78503333333334,0,0,0,0
"6603","2020-03-12","沈阳",20.3333333333333,50.6666666666667,12,0.466666666666668,23.3333333333333,74.6666666666667,47.3333333333333,1009,2.96666666666667,0.666666666666667,4.8516,0,0,0,0
"6604","2020-03-13","沈阳",18.3333333333333,52.3333333333333,12.3333333333333,0.466666666666668,24,76.3333333333333,35.6666666666667,1012.33333333333,2.96666666666667,0.666666666666667,4.88293333333334,0,0,0,0
"6605","2020-03-14","沈阳",21,57.3333333333333,12.3333333333333,0.566666666666668,24.3333333333333,78.3333333333333,38.3333333333333,1013.33333333333,2.4,0.666666666666667,4.61866666666667,0,0,0,0
"6606","2020-03-15","沈阳",18.3333333333333,58,11,0.533333333333334,21.6666666666667,77.3333333333333,35.6666666666667,1013,2.4,0.333333333333333,4.2472,0,0,0,0
"6607","2020-03-16","沈阳",21,72,13,0.600000000000001,23,76.3333333333333,36.6666666666667,1012.33333333333,2.4,-0.833333333333333,4.29366666666667,0,0,0,0
"6608","2020-03-17","沈阳",23.6666666666667,80,14,0.566666666666668,25.6666666666667,80.6666666666667,39.6666666666667,1010,2.4,0.166666666666667,4.64636666666667,0,0,0,0
"6609","2020-03-18","沈阳",37,97.3333333333333,19.6666666666667,0.766666666666668,33.6666666666667,99,39,1010,1.9,2.16666666666667,5.11246666666667,0,0,0,0
"6610","2020-03-19","沈阳",35,83.3333333333333,16.6666666666667,0.666666666666668,32,97,42.6666666666667,1002.66666666667,3.33333333333333,7.16666666666667,5.12673333333334,0,0,0,0
"6611","2020-03-20","沈阳",43.3333333333333,95.6666666666667,19.3333333333333,0.800000000000001,36.6666666666667,93,46,1002,2.83333333333333,7.33333333333333,5.15793333333334,0,0,0,0
"6612","2020-03-21","沈阳",39,78,15.6666666666667,0.666666666666668,37.3333333333333,79.6666666666667,55,1001,3.33333333333333,7.16666666666667,4.90053333333334,0,0,0,0
"6613","2020-03-22","沈阳",64.3333333333333,106.333333333333,20,0.866666666666668,46.3333333333333,91,63.3333333333333,1005.33333333333,1.4,5.16666666666667,4.58836666666667,0,0,0,0
"6614","2020-03-23","沈阳",57,87,15.6666666666667,0.666666666666668,40.6666666666667,97,59.6666666666667,1007,1.4,5.83333333333333,4.67076666666667,0,0,0,0
"6615","2020-03-24","沈阳",74.3333333333333,110.333333333333,21.3333333333333,0.900000000000001,45.3333333333333,100,60.3333333333333,1011.33333333333,0.900000000000001,7,5.04103333333334,0,0,0,0
"6616","2020-03-25","沈阳",53.6666666666667,91.6666666666667,19.6666666666667,0.800000000000001,36.6666666666667,102.333333333333,54.6666666666667,1010.66666666667,0.900000000000001,10,5.45953333333334,0,0,0,0
"6617","2020-03-26","沈阳",50.3333333333333,89.6666666666667,19.6666666666667,0.833333333333334,34.6666666666667,94.3333333333333,48.6666666666667,1010,1.4,8.66666666666667,5.38423333333334,0,0,0,0
"6618","2020-03-27","沈阳",25,60.6666666666667,12.6666666666667,0.566666666666668,25.6666666666667,87.6666666666667,57,1011,1.4,5.5,5.42706666666667,0.001201634,1,0.693147180559945,0.00120091261570052
"6619","2020-03-28","沈阳",21.3333333333333,54,11.6666666666667,0.500000000000001,28.3333333333333,78,49.6666666666667,1014.66666666667,1.4,2.83333333333333,5.1923,0.002403268,2,1.09861228866811,0.00240038476998565
"6620","2020-03-29","沈阳",25,63,16,0.633333333333334,31,86.6666666666667,48.3333333333333,1017.66666666667,0.900000000000001,5.5,4.9356,0.002403268,2,1.09861228866811,0.00240038476998565
