"","City","POP","GDP","PRIM","SEC","TERT","X.60yr.","BED","DOC","NRS","Area","POPDENS","GDPpc","Prim.","Sec.","Tert.","ACTV","TVLR","TVLR."
"23","Shijiazhuang",10394.2,84.0795947901592,6.50506512301013,26.5079594790159,51.0665701881331,19.3375348,6.082911624,3.174847511,3.367262512,15848,655.868248359414,8.08908764408604,7.73679409284153,31.5272207783267,60.7359851288318,5.386907143,8.68705,0.835759
"24","Tangshan",7964,99.7105643994211,7.68740955137482,52.2908827785818,39.7322720694645,22.485092,6.278252135,3.013561025,2.887995982,14198,560.924073813213,12.5201612756681,7.70972423802613,52.4426705370102,39.8476052249637,5.579178571,0,0
"25","Qinhuangdao",3146.3,23.3287988422576,2.98581765557164,7.67206946454414,12.6709117221418,21.9140492,6.062358961,3.130661412,2.997171281,7803,403.21671152121,7.41467718979678,12.7988486495205,32.8866887507599,54.3144625997196,5.3535,0,0
"26","Handan",9549.7,50.4486251808973,4.95513748191027,22.4978292329957,22.9971056439942,17.9477889,5.870132046,5.762170539,2.170434673,12065,791.520928305015,5.28274450306264,9.82214572576018,44.5955249569707,45.5851979345955,5.489271429,7.90413,0.827684
"27","Xingtai",7395.2,30.6795947901592,4.10332850940666,12.056005788712,14.5202604920405,18.465146,5.15766984,2.84671138,1.977498918,12433,594.804150245315,4.14858216007129,13.3747806562388,39.2964961603049,47.3287231834563,5.365528571,6.284755,0.849842
"28","Baoding",8975.5,51.4905933429812,5.44102604920405,21.3883285094067,24.6673574529667,23.5809914,5.449125469,2.777985533,2.243757546,22185,404.575163398693,5.73679386585496,10.5670292299044,41.5383220910624,47.9065317594154,5.031178571,5.335465,0.594448
"29","Zhangjiakou",4423.3,22.4465991316932,3.52793053545586,6.44587554269175,12.4727930535456,24.6813705,6.15,2.43,1.621024137,36797,120.208169144224,5.0746273442211,15.7169935399017,28.7164906580016,55.5665158020966,5.134407143,0,0
"30","Chengde",3582.7,21.287988422576,4.31259044862518,7.06946454413893,9.90593342981187,21.417509,6.252267843,2.430290005,2.323387389,39490,90.7242339832869,5.94188417187484,20.2583276682529,33.2087015635622,46.5329707681849,5.124735714,0,0
"31","Cangzhou",7544.3,51.9247467438495,4.23444283646889,20.698986975398,26.9898697539797,20.8912858,5.471017855,2.944474636,2.297231022,14304,527.425894854586,6.88264606972807,8.15496098104794,39.8634336677815,51.9788182831661,5.6307,3.650725,0.483905
"32","Langfang",4920.5,46.2518089725036,2.92773950795948,16.9327872648336,26.3866570188133,17.8377216,5.017574329,2.799900757,2.163916801,6419,766.552422495716,9.39981891525325,6.33,36.61,57.05,4.514335714,0,0
"33","Hengshui",4486,21.7785817655572,3.13458755426918,7.12156295224313,11.5224312590449,21.6397481,4.728488631,2.982612572,1.913508694,8837,507.638338802761,4.85478862361952,14.3929829224533,32.6998471659246,52.907169911622,5.500757143,0,0
"34","Taiyuan",4461.9,58.2997105643994,0.614761215629522,21.9774240231548,35.707525325615,15.48,8.8,5.4,6.716421256,6988,638.508872352604,13.0661176997242,1.05448416412023,37.6973124058275,61.2482034300523,5.054342857,4.14134,0.928156
"35","Datong",3643,19.0853835021708,1.02749638205499,7.10130246020261,10.9565846599132,15.3585262,6.272303047,2.786165248,2.655503706,14178,256.947383269855,5.23891943512785,5.38368213527449,37.208067940552,57.4082499241735,5.173157143,0,0
"36","Shuozhou",1784.5,15.3646888567294,0.875542691751085,6.12011577424023,8.36903039073806,13.2591684,5.662650602,1.604244694,1.267733515,10625,167.952941176471,8.61008061458637,5.69840821324291,39.8323443533955,54.4692474333616,5.238378571,0,0
"37","Xinzhou",3172.9,14.4949348769899,1.24167872648336,6.30390738060782,6.95079594790159,18.18,4.428440859,1.912673392,1.605296343,25152,126.149013994911,4.5683554089287,8.56629392971246,43.4904153354633,47.9532747603834,4.767985714,0,0
"38","Yangquan",1417.5,10.4037626628075,0.170767004341534,4.73661360347323,5.49638205499276,16.76,4.975661376,2.86984926,3.30538194,4559,310.923448124589,7.33951510603705,1.64139657810544,45.5278898316873,52.8307135902073,5.170135714,0,0
"39","Changzhi",3478,23.9088277858177,0.92040520984081,12.6613603473227,10.3270622286541,21.93489,5.663312248,2.727717079,2.776308223,13955,249.229666786098,6.87430356118966,3.84964590521155,52.9568428061255,43.1935112886629,5.022642857,0,0
"40","Jincheng",2353,19.7163531114327,0.804630969609262,10.6526772793054,8.25904486251809,14.6350012,5.482362941,2.45761105,2.279458837,9425,249.655172413793,8.37924059134412,4.08103347034645,54.0296535525543,41.8893129770992,5.560357143,0,0
"41","Luliang",3890.9,21.8827785817656,1.00868306801737,13.0738060781476,7.80028943560058,13.1648429,3.983654167,1.856454149,1.521307587,21239,183.196007344979,5.62409174786439,4.60948349976853,59.7447258779181,35.6457906223133,5.118557143,0,0
"42","Jinzhong",3389.484,21.1287988422576,1.67004341534009,9.46888567293777,9.98986975397974,17.3829141,5.24829148,2.366731927,2.608361627,16444,206.122841157869,6.23363286041698,7.9041095890411,44.8150684931507,47.2808219178082,4.695792857,0.83195,0.24545
"43","Linfen",4508.4,21.0217076700434,1.49782923299566,9.09406657018813,10.4298118668596,13.8986194,5.190311419,2.578070975,2.45118953,20275,222.36251541307,4.66278672479004,7.12515489467162,43.2603607324797,49.6144843728487,5.394821429,0,0
"44","Yuncheng",5372.6,22.6179450072359,3.589001447178,7.82489146164978,11.2040520984081,16.6,6.330826788,2.471429103,2.408331162,14183,378.805612352817,4.20986952448273,15.8679378079212,34.5959434384797,49.5361187535991,5.442442857,1.00861,0.187732
"45","Jinan",8908.7,136.662373371925,4.96468885672938,47.2535455861071,84.4441389290883,18.5577272,7.5,4.3,5.025467803,7998,1113.86596649162,15.3403272499831,3.632813285935,34.5768512723742,61.7903354416908,5.542614286,4.006145,0.449689
"46","Qingdao",9499.8,169.917655571635,5.93314037626628,60.531982633864,103.452532561505,20.0212155,5.657810704,3.680546685,4.083109805,11282,842.031554688885,17.8864455642893,3.49177391619845,35.6243042726919,60.8839218111097,5.525821429,4.50439,0.474156
"47","Zibo",4697,52.712011577424,2.16063675832127,26.3068017366136,24.2445730824891,22.4618515,6.812859272,3.619331488,3.619331488,5965,787.42665549036,11.2224849004522,4.09894575005491,49.9066549527784,45.9943992971667,5.807478571,0,0
"48","Zaozhuang",3933,24.5138929088278,2.29913169319826,10.6654124457308,11.5493487698987,19.6882533,6.097381134,2.823798627,3.490719553,4564,861.744084136722,6.23287386443625,9.37889262121364,43.507624372015,47.1134830067713,6.095178571,0,0
"49","Weifang",9351.5,82.3227206946454,7.48798842257598,33.1554269175109,41.6793053545586,24.9551591,6.73688713,3.208041491,3.421910923,16143,579.291333705012,8.80315678710853,9.0958952272128,40.2749406697723,50.6291641030149,5.411914286,0.3245,0.0347
"50","Jining",8356,63.2441389290883,7.29146164978292,25.470477568741,30.4821997105644,19.1898677,6.34,3.03,3.55,11187,746.938410655225,7.56870978088658,11.5290709514733,40.2732616808957,48.197667367631,5.756364286,2.127945,0.254661
"51","Taian",5635,38.5470332850941,4.17800289435601,14.9956584659913,19.3733719247467,22.3846228,5.893522626,2.661756877,3.157586513,7762,725.972687451688,6.84064477109034,10.8387145217,38.9022375732092,50.2590479050909,5.453135714,0,0
"52","Rizhao",2949,28.210998552822,2.42793053545586,12.0387843704776,13.7442836468886,24.7560723,5.732112581,2.667683961,2.914208206,5359,550.289233065871,9.56629316813225,8.60632611394392,42.6740809898532,48.7195928962029,5.357178571,0,0
"53","Linyi",10667.1,66.5738060781476,5.92590448625181,25.2167872648336,35.4311143270622,21,6.091961596,2.288027108,2.667074548,17191,620.50491536269,6.24104077754475,8.90125536655617,37.8779414162274,53.2208032172164,5.549442857,3.00349,0.281566
"54","Dezhou",5748.5,43.7376266280753,4.51345875542692,18.287988422576,20.9361794500724,20.8750109,4.897973384,2.821605636,2.364616857,10358,554.981656690481,7.6085285949509,10.3193956860241,41.8129419277563,47.8676623862196,5.7671,0,0
"55","Liaocheng",6098.3,32.7036179450072,4.59623733719248,11.676989869754,16.4303907380608,19.7159864,5.509095399,2.258622109,2.518725821,8628,706.803430690774,5.36274337848371,14.0542167075254,35.7054986680355,50.2402846244391,5.705992857,0,0
"56","Binzhou",3923,35.5599131693198,3.3315484804631,15.0652677279305,17.1630969609262,23.6929984,5.672954372,2.884527148,3.146061687,9660,406.107660455486,9.06446932687225,9.36883187706282,42.3658732128977,48.2652949100395,5.90835,0,0
"57","Heze",8781.7,49.348480463097,4.68248914616498,21.0382054992764,23.6277858176556,14.5287682,5.759,2.687292893,2.710636893,12155,722.476347182229,5.61946780954678,9.48861870157596,42.6319215948481,47.879459703576,5.514564286,7.57953,0.863105
"58","Zhengzhou",10352,167.723589001447,2.03907380607815,66.8162083936324,98.8683068017366,13.7231883,9.659969088,4.34698609,5.699381762,7446,1390.27665860865,16.2020468509899,1.21573466094895,39.8370967324435,58.9471686066076,5.298078571,29.218625,2.82251
"59","Kaifeng",4574.9,34.2133140376266,4.605499276411,13.7371924746744,15.8706222865412,20.0538046,6.819821198,2.90716737,3.103892981,6240,733.157051282051,7.47848347234401,13.461131743467,40.1515984670959,46.3872697894372,5.894171429,7.07621,1.546746
"60","Pingdingshan",5025.7,34.3363241678726,2.51331403762663,15.8117221418234,16.0112879884226,17.3422267,5.677745291,2.438665261,2.747080009,7882,637.617356001015,6.83214759493656,7.31969451749949,46.0495481826151,46.6307572998854,5.719878571,6.98534,1.389924
"61","Anyang",5192.2,32.2619392185239,2.86541244573082,14.4486251808972,14.9479015918958,18.3921357,5.95,2.29,2.61,7385,703.073798239675,6.21353938956972,8.88171174808236,44.7853586327547,46.332929619163,5.544992857,7.274945,1.40113
