"","X.3","X.2","X.1","X","PM2.5","PM10","SO2","CO","NO2","O3","HUM","PRES","WSPD","TEMP","ACTV","MORB.","Case","log.Case.1.","log.MORB..1.","City","days"
"6553",6553,6553,6553,"2020-01-22",98,129,24,1.3,48,45,76,1017,0.1,-1,4.9814,0,0,0,0,"Shenyang",0
"6554",6554,6554,6554,"2020-01-23",86,117,21,1.15,41,60.5,83.5,1016.5,0.5,-1.75,4.5678,0,0,0,0,"Shenyang",1
"6555",6555,6555,6555,"2020-01-24",78,105,22,0.966666666666667,37,62.3333333333333,77.6666666666667,1021,0.633333333333333,-4.16666666666667,4.1308,0,0,0,0,"Shenyang",2
"6556",6556,6556,6556,"2020-01-25",133.666666666667,170.333333333333,38.6666666666667,1.06666666666667,38,64.3333333333333,74.3333333333333,1025.33333333333,0.633333333333333,-7.5,3.42466666666667,0.003604903,3,1.38629436111989,0.00359842091071158,"Shenyang",3
"6557",6557,6557,6557,"2020-01-26",178,214.333333333333,42.6666666666667,1.23333333333333,42.3333333333333,62.3333333333333,61,1029.33333333333,0.633333333333333,-9.33333333333333,2.92623333333333,0.004806537,4,1.6094379124341,0.00479502248292762,"Shenyang",4
"6558",6558,6558,6558,"2020-01-27",192.333333333333,231,49,1.63333333333333,50,58,64,1027,0.366666666666667,-9,2.61456666666667,0.006008171,5,1.79175946922805,0.00599019391096358,"Shenyang",5
"6559",6559,6559,6559,"2020-01-28",165.666666666667,195.333333333333,33,1.7,46.6666666666667,76.6666666666667,64.6666666666667,1022.66666666667,0.366666666666667,-6.16666666666667,2.364,0.003604902,3,1.38629436111989,0.00359841991430345,"Shenyang",6
"6560",6560,6560,6560,"2020-01-29",125.666666666667,152,29.3333333333333,1.5,37,84,71,1019.66666666667,1.43333333333333,-5.16666666666667,2.18183333333333,0.003604902,3,1.38629436111989,0.00359841991430345,"Shenyang",7
"6561",6561,6561,6561,"2020-01-30",105.666666666667,127.666666666667,19.6666666666667,1.1,26,93,69,1018.66666666667,2.76666666666667,-6.16666666666667,2.0762,0.002403268,2,1.09861228866811,0.00240038476998565,"Shenyang",8
"6562",6562,6562,6562,"2020-01-31",94.3333333333333,114.333333333333,20.6666666666667,1,31.6666666666667,79,70.3333333333333,1019,3.53333333333333,-9.5,2.0728,0.002403268,2,1.09861228866811,0.00240038476998565,"Shenyang",9
"6563",6563,6563,6563,"2020-02-01",93,113.666666666667,19.6666666666667,1.1,39,71.3333333333333,74,1018.33333333333,2.2,-10.3333333333333,2.06853333333333,0.004806537,4,1.6094379124341,0.00479502248292762,"Shenyang",10
"6564",6564,6564,6564,"2020-02-02",90,111,21,1.16666666666667,42.6666666666667,63.3333333333333,78,1019.66666666667,1.13333333333333,-9.33333333333333,2.0544,0.009613074,8,2.19722457733622,0.00956716240400803,"Shenyang",11
"6565",6565,6565,6565,"2020-02-03",52.6666666666667,69.3333333333333,17,0.933333333333334,33.6666666666667,62,81.6666666666667,1021,0.633333333333334,-9,2.07996666666667,0.00841144,7,2.07944154167984,0.00837626097175932,"Shenyang",12
"6566",6566,6566,6566,"2020-02-04",30.6666666666667,44.6666666666667,15.3333333333333,0.7,25,60.3333333333333,74,1021.66666666667,0.9,-9.83333333333333,2.06576666666667,0.00841144,7,2.07944154167984,0.00837626097175932,"Shenyang",13
"6567",6567,6567,6567,"2020-02-05",24.3333333333333,38.3333333333333,13.3333333333333,0.6,19.3333333333333,61.3333333333333,57.6666666666667,1023,1.4,-12.3333333333333,2.0581,0.009613074,8,2.19722457733622,0.00956716240400803,"Shenyang",14
"6568",6568,6568,6568,"2020-02-06",38,52.6666666666667,17.6666666666667,0.766666666666667,20.6666666666667,58.3333333333333,49,1027,1.4,-14.3333333333333,1.96183333333333,0.009613074,8,2.19722457733622,0.00956716240400803,"Shenyang",15
"6569",6569,6569,6569,"2020-02-07",48.3333333333333,63.3333333333333,21.3333333333333,0.933333333333334,25.3333333333333,60.6666666666667,49,1028.66666666667,1.4,-14.1666666666667,1.9018,0.008411439,7,2.07944154167984,0.00837625998010074,"Shenyang",16
"6570",6570,6570,6570,"2020-02-08",63.6666666666667,81,26.3333333333333,1.13333333333333,31.6666666666667,66.3333333333333,60.3333333333333,1027,0.633333333333333,-11.8333333333333,1.86836666666667,0.003604902,3,1.38629436111989,0.00359841991430345,"Shenyang",17
