"","City","POP","GDP","PRIM","SEC","TERT","X.60yr.","BED","DOC","NRS","Area","POPDENS","GDPpc","Prim.","Sec.","Tert.","ACTV","TVLR","TVLR."
"1","Beijing",21536,511.885672937771,1.64544138929088,82.7076700434153,427.532561505065,17.2,5.850668648,4.643387816,5.664933135,16406,1312.69047909301,164.242663447251,0.321447048878611,16.1574496837832,83.5211032673382,5.341992857,42.94048,1.993893
"2","Shanghai",24281.4,552.175397973951,1.50332850940666,149.047178002894,401.62489146165,23.3256155,5.3,3.199980232,3.998945695,6341,3829.2698312569,157.13805629,0.272255612061437,26.9927234262483,72.7350209616903,5.468578571,33.045055,1.36092
"3","Chongqing",31243.2,341.617510853835,22.4518089725036,137.436179450072,181.729522431259,20.6,7.422415118,2.624571107,3.303118759,82402,379.1558457319,75.554904747273,6.57220671047799,40.2310113163011,53.196781973221,5.380857143,63.206345,2.023043
"4","Suzhou",10750,278.376266280752,2.8465991316932,132.130246020261,143.399421128799,21.1155814,6.669767442,3.302325581,3.758139535,8657,1241.76966616611,178.937674418605,1.0225724950353,47.4646232545566,51.5128042504081,5.308178571,9.432525,0.877444
"6","Chengdu",16581,246.203328509407,8.85933429811867,75.898986975398,161.44515195369,19.6903788,8.986189012,4.101079549,5.307279416,14335,1156.67945587722,102.603280863639,3.59838120457424,30.8277663973573,65.5739111778588,4.993728571,23.064725,1.391033
"7","Guangzhou",15305.9,341.947901591896,3.63777134587554,93.4008683068017,244.909261939219,12.2188437,6.546495142,3.835122404,5.083007206,7434,2058.90503093893,154.375763594431,1.06383789136893,27.3143563308871,71.6218057777439,3.767064286,24.999225,1.633306
"8","Shenzhen",13438.8,389.682923299566,0.364688856729378,151.893487698987,237.42489146165,8.1014644,3.818644522,2.702696669,2.999449356,1997,6729.49424136204,200.368262047207,0.0935860503307264,38.9787385120338,60.927712574957,3.795007143,25.16282,1.872401
